City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.18,84,100,9.76,TF,2023-06-06
1,whitehorse,60.7161,-135.0538,8.78,81,100,3.6,CA,2023-06-06
2,waitangi,-43.9535,-176.5597,9.9,95,100,0.45,NZ,2023-06-06
3,ribeira grande,38.5167,-28.7,20.22,64,40,8.05,PT,2023-06-06
4,papatowai,-46.5619,169.4708,4.71,86,46,1.92,NZ,2023-06-06
5,kodiak,57.79,-152.4072,7.73,93,100,5.66,US,2023-06-06
6,saipan,15.1355,145.701,27.58,100,75,7.72,MP,2023-06-06
7,port mathurin,-19.6833,63.4167,24.49,70,3,9.02,MU,2023-06-06
8,huarmey,-10.0681,-78.1522,24.41,70,6,3.82,PE,2023-06-06
9,hithadhoo,-0.6,73.0833,28.4,76,13,3.59,MV,2023-06-06
10,arraial do cabo,-22.9661,-42.0278,21.92,78,0,3.09,BR,2023-06-06
11,bilibino,68.0546,166.4372,9.7,56,100,1.32,RU,2023-06-06
12,san luis,-33.295,-66.3356,21.28,50,93,1.46,AR,2023-06-06
13,kerikeri,-35.2268,173.9474,12.17,91,100,0.89,NZ,2023-06-06
14,manggar,-2.8833,108.2667,27.18,84,84,4.19,ID,2023-06-06
15,mount isa,-20.7333,139.5,12.87,82,63,1.54,AU,2023-06-06
16,eyl,7.9803,49.8164,27.61,81,72,11.17,SO,2023-06-06
17,inhambane,-23.865,35.3833,22.58,87,0,3.26,MZ,2023-06-06
18,grytviken,-54.2811,-36.5092,2.45,95,80,1.73,GS,2023-06-06
19,bethel,41.3712,-73.414,23.34,54,0,5.14,US,2023-06-06
20,buncrana,55.1333,-7.45,16.87,87,5,1.46,IE,2023-06-06
21,kismayo,-0.3582,42.5454,26.17,79,65,6.35,SO,2023-06-06
22,rio grande,-32.035,-52.0986,21.06,77,4,4.48,BR,2023-06-06
23,ingeniero jacobacci,-41.3427,-69.5448,8.11,47,2,9.55,AR,2023-06-06
24,hawaiian paradise park,19.5933,-154.9731,27.24,81,40,1.54,US,2023-06-06
25,iskateley,67.6803,53.1512,4.33,85,99,6.18,RU,2023-06-06
26,utrik,11.2278,169.8474,27.52,84,85,9.14,MH,2023-06-06
27,harpswell center,43.8018,-69.9842,19.7,66,100,6.71,US,2023-06-06
28,thompson,55.7435,-97.8558,21.09,94,100,1.54,CA,2023-06-06
29,susuman,62.7833,148.1667,11.36,62,35,1.46,RU,2023-06-06
30,coronel suarez,-37.4547,-61.9334,15.81,77,100,2.76,AR,2023-06-06
31,edinburgh of the seven seas,-37.0676,-12.3116,13.11,66,99,9.63,SH,2023-06-06
32,cooper's town,26.8667,-77.5167,25.65,67,100,3.68,BS,2023-06-06
33,yanchep,-31.55,115.6833,8.07,64,100,7.74,AU,2023-06-06
34,chonchi,-42.6128,-73.8092,12.84,75,22,1.58,CL,2023-06-06
35,invercargill,-46.4,168.35,2.08,91,52,1.74,NZ,2023-06-06
36,maragogi,-9.0122,-35.2225,25.34,85,34,2.5,BR,2023-06-06
37,lilongwe,-13.9669,33.7873,18.48,62,0,1.39,MW,2023-06-06
38,yellowknife,62.456,-114.3525,10.29,100,100,6.17,CA,2023-06-06
39,iqaluit,63.7506,-68.5145,5.85,70,75,5.66,CA,2023-06-06
40,bredasdorp,-34.5322,20.0403,10.04,71,61,0.51,ZA,2023-06-06
