City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,miles city,46.4083,-105.8406,26.54,34,40,4.63,US,2023-06-12
1,chateaubelair,13.2833,-61.25,29.29,79,40,5.14,VC,2023-06-12
2,port-aux-francais,-49.35,70.2167,6.57,92,100,14.47,TF,2023-06-12
3,albany,42.6001,-73.9662,27.36,50,100,1.34,US,2023-06-12
4,blackmans bay,-43.0167,147.3167,6.07,90,51,3.14,AU,2023-06-12
5,laguna de perlas,12.3429,-83.6712,31.05,67,99,4.22,NI,2023-06-12
6,margaret river,-33.95,115.0667,15.62,66,92,6.66,AU,2023-06-12
7,qaqortoq,60.7167,-46.0333,8.87,60,100,3.05,GL,2023-06-12
8,la ronge,55.1001,-105.2842,22.14,33,100,5.14,CA,2023-06-12
9,grand falls-windsor,48.9332,-55.6649,10.84,85,100,1.79,CA,2023-06-12
10,harstad,68.799,16.5293,8.42,91,18,9.83,NO,2023-06-12
11,nadi,-17.8,177.4167,22.0,88,40,2.06,FJ,2023-06-12
12,ushuaia,-54.8,-68.3,5.79,75,20,16.46,AR,2023-06-12
13,clifton springs,-38.15,144.5667,12.72,76,100,5.66,AU,2023-06-12
14,anadyr,64.75,177.4833,6.28,81,0,5.81,RU,2023-06-12
15,waitangi,-43.9535,-176.5597,9.9,95,95,8.33,NZ,2023-06-12
16,bilibino,68.0546,166.4372,12.37,90,100,2.64,RU,2023-06-12
17,sarikei,2.1167,111.5167,22.88,93,78,0.36,MY,2023-06-12
18,yellowknife,62.456,-114.3525,9.29,57,75,6.17,CA,2023-06-12
19,ribeira grande,38.5167,-28.7,20.22,94,75,4.12,PT,2023-06-12
20,tolanaro,-25.0319,46.9987,22.04,94,20,5.14,MG,2023-06-12
21,mana,5.6592,-53.7767,26.8,86,72,4.53,GF,2023-06-12
22,uturoa,-16.7333,-151.4333,27.09,71,5,8.4,PF,2023-06-12
23,cruzeiro do sul,-29.5128,-51.9853,9.71,79,49,0.53,BR,2023-06-12
24,iskateley,67.6803,53.1512,8.77,90,100,5.58,RU,2023-06-12
25,robertsport,6.7533,-11.3686,26.35,81,100,4.69,LR,2023-06-12
26,puerto colombia,10.9878,-74.9547,32.05,73,30,6.65,CO,2023-06-12
27,bethel,41.3712,-73.414,26.47,69,75,6.69,US,2023-06-12
28,college,64.8569,-147.8028,16.18,39,75,7.72,US,2023-06-12
29,iqaluit,63.7506,-68.5145,1.85,64,100,4.63,CA,2023-06-12
30,berezovyy,51.6667,135.7,14.18,72,7,0.63,RU,2023-06-12
31,vilyuchinsk,52.9306,158.4028,12.92,55,0,3.2,RU,2023-06-12
32,papatowai,-46.5619,169.4708,9.71,87,94,3.85,NZ,2023-06-12
33,vorgashor,67.5833,63.95,3.41,55,96,2.8,RU,2023-06-12
34,thunder bay,48.4001,-89.3168,19.99,40,75,3.6,CA,2023-06-12
35,buala,-8.145,159.5921,27.62,81,74,2.27,SB,2023-06-12
36,tezu,27.9167,96.1667,23.24,96,78,1.42,IN,2023-06-12
37,santa ana de yacuma,-13.75,-65.4333,13.97,94,100,6.17,BO,2023-06-12
38,west island,-12.1568,96.8225,26.99,83,40,9.43,CC,2023-06-12
39,ponta delgada,37.7333,-25.6667,19.4,94,75,8.23,PT,2023-06-12
40,punta del este,-34.9667,-54.95,11.09,72,40,7.2,UY,2023-06-12
41,bredasdorp,-34.5322,20.0403,12.69,69,100,7.4,ZA,2023-06-12
42,puerto ayora,-0.7393,-90.3518,30.98,87,46,2.68,EC,2023-06-12
43,longyearbyen,78.2186,15.6401,0.91,93,100,4.12,SJ,2023-06-12
44,hilo,19.7297,-155.09,28.12,68,20,3.6,US,2023-06-12
45,east london,-33.0153,27.9116,14.86,67,100,7.35,ZA,2023-06-12
46,port elizabeth,-33.918,25.5701,14.16,72,0,10.29,ZA,2023-06-12
47,thompson,55.7435,-97.8558,14.09,72,100,4.63,CA,2023-06-12
48,talnakh,69.4865,88.3972,7.34,94,100,3.43,RU,2023-06-12
49,lompoc,34.6391,-120.4579,22.05,77,100,3.09,US,2023-06-12
50,monywa,22.1167,95.1333,28.6,68,100,5.19,MM,2023-06-12
51,aasiaat,68.7098,-52.8699,0.76,79,43,11.78,GL,2023-06-12
52,kavaratti,10.5669,72.642,29.52,75,99,9.12,IN,2023-06-12
53,thayetmyo,19.3167,95.1833,26.25,79,94,2.58,MM,2023-06-12
54,malango,-2.9627,119.9001,18.81,98,69,0.6,ID,2023-06-12
55,adamstown,-25.066,-130.1015,20.01,64,18,3.03,PN,2023-06-12
56,ilulissat,69.2167,-51.1,3.01,70,40,6.17,GL,2023-06-12
57,tiksi,71.6872,128.8694,1.55,91,64,1.9,RU,2023-06-12
58,chibougamau,49.9168,-74.3659,25.79,34,0,3.09,CA,2023-06-12
59,edinburgh of the seven seas,-37.0676,-12.3116,16.78,91,100,15.67,SH,2023-06-12
60,punta arenas,-53.15,-70.9167,6.06,70,20,11.83,CL,2023-06-12
61,acarau,-2.8856,-40.12,26.86,80,1,7.32,BR,2023-06-12
62,st. john's,47.5649,-52.7093,8.71,88,100,8.23,CA,2023-06-12
63,nova vicosa,-17.8919,-39.3719,23.47,80,1,4.26,BR,2023-06-12
64,koubia,11.5833,-11.9,23.23,78,82,1.18,GN,2023-06-12
65,happy valley-goose bay,53.3168,-60.3315,20.17,45,75,2.57,CA,2023-06-12
66,whitehorse,60.7161,-135.0538,15.57,22,40,4.63,CA,2023-06-12
67,queenstown,-31.8976,26.8753,10.09,51,100,7.78,ZA,2023-06-12
68,na wa,17.4897,104.1006,24.55,95,100,4.18,TH,2023-06-12
69,suoyarvi,62.0833,32.35,10.45,60,100,3.05,RU,2023-06-12
70,grytviken,-54.2811,-36.5092,-1.61,91,64,4.28,GS,2023-06-12
71,minas de marcona,-15.2119,-75.1103,14.78,72,22,8.88,PE,2023-06-12
72,turpan,42.9333,89.1667,33.21,23,93,1.3,CN,2023-06-12
73,bikenibeu village,1.3673,173.1241,28.98,84,40,2.06,KI,2023-06-12
74,peranampattu,12.9333,78.7167,27.57,61,88,5.96,IN,2023-06-12
75,wenchang,30.904,118.4887,21.18,95,94,1.6,CN,2023-06-12
76,kapa'a,22.0752,-159.319,27.99,81,100,5.66,US,2023-06-12
77,hawaiian paradise park,19.5933,-154.9731,27.63,67,20,3.6,US,2023-06-12
78,leh,34.1667,77.5833,11.06,52,93,1.88,IN,2023-06-12
79,atafu village,-8.5421,-172.5159,28.38,77,19,5.59,TK,2023-06-12
80,bumba,2.1833,22.4667,21.84,97,56,1.47,CD,2023-06-12
81,lebu,-37.6167,-73.65,10.36,75,0,7.81,CL,2023-06-12
82,duluth,46.7833,-92.1066,24.03,42,0,4.12,US,2023-06-12
83,coruripe,-10.1256,-36.1756,23.98,89,12,4.47,BR,2023-06-12
84,nombre de dios,23.85,-104.2333,33.75,9,1,2.84,MX,2023-06-12
85,sandnessjoen,66.0217,12.6316,11.29,94,100,6.17,NO,2023-06-12
86,ust-nera,64.5667,143.2,14.0,94,99,2.74,RU,2023-06-12
87,nova sintra,14.8667,-24.7167,21.84,84,70,6.86,CV,2023-06-12
88,colonia,50.9333,6.95,24.92,44,0,3.09,DE,2023-06-12
89,saipan,15.1355,145.701,28.39,100,40,4.92,MP,2023-06-12
90,hamilton,39.1834,-84.5333,21.25,64,40,7.2,US,2023-06-12
91,port lincoln,-34.7333,135.8667,13.23,67,46,10.02,AU,2023-06-12
92,padang,-0.9492,100.3543,25.76,87,52,1.74,ID,2023-06-12
93,avarua,-21.2078,-159.775,25.03,88,97,1.54,CK,2023-06-12
94,eyl,7.9803,49.8164,26.04,82,99,11.8,SO,2023-06-12
95,muleba,-1.8397,31.6544,22.0,62,92,0.71,TZ,2023-06-12
96,coxen hole,16.3244,-86.5366,32.6,70,20,5.14,HN,2023-06-12
97,utrik,11.2278,169.8474,27.58,82,87,8.12,MH,2023-06-12
98,wynyard,-41.0,145.7167,12.21,84,100,4.8,AU,2023-06-12
99,badger,64.8,-147.5333,16.14,39,75,7.72,US,2023-06-12
100,onega,63.9061,38.1404,13.37,61,99,3.88,RU,2023-06-12
101,karema,-6.8205,30.4389,22.5,66,53,1.85,TZ,2023-06-12
102,dos palos,36.9861,-120.6266,27.75,29,45,1.89,US,2023-06-12
103,bani walid,31.7566,13.9942,24.47,50,0,4.32,LY,2023-06-12
104,pacasmayo,-7.4006,-79.5714,23.5,72,0,8.35,PE,2023-06-12
105,hadibu,12.65,54.0333,28.09,78,100,7.76,YE,2023-06-12
106,rosamond,34.8641,-118.1634,26.9,44,0,9.77,US,2023-06-12
107,hithadhoo,-0.6,73.0833,28.24,74,90,1.15,MV,2023-06-12
108,loralai,30.3705,68.598,26.63,35,0,4.42,PK,2023-06-12
109,constantia,44.1833,28.65,15.39,78,36,7.95,RO,2023-06-12
110,west richland,46.3043,-119.3614,34.86,35,0,3.6,US,2023-06-12
111,cabo san lucas,22.8909,-109.9124,34.61,22,0,3.09,MX,2023-06-12
112,karratha,-20.7377,116.8463,18.46,43,0,5.82,AU,2023-06-12
113,puerto natales,-51.7236,-72.4875,6.25,61,40,3.6,CL,2023-06-12
114,longboat key,27.4125,-82.659,32.92,61,0,4.12,US,2023-06-12
115,carolina,18.3808,-65.9574,31.82,72,75,8.75,PR,2023-06-12
116,fort william,56.8165,-5.1121,20.17,76,100,2.03,GB,2023-06-12
